y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport         Viscous_Dissipation           Balance
2.538221005455230e-01    2.358325523296822e+01    1.297739479314728e-01   -2.001505026722109e-02   -1.325724467557265e-03    0.000000000000000e+00   -3.171848281270830e-03    1.052567166024532e-01    4.608312970416639e-06
2.713042114786114e-01    2.520756250668470e+01    1.179982102012963e-01   -1.462514288155106e-02   -3.095918849315186e-04    0.000000000000000e+00   -2.837863044872946e-03    1.002206052640739e-01    5.007125866859918e-06
2.892775139395317e-01    2.687750763125906e+01    1.074447342387585e-01   -9.986006275275053e-03    3.723830701682227e-04    0.000000000000000e+00   -2.505518752089441e-03    9.531974597369149e-02    5.846307870746581e-06
3.077298926752047e-01    2.859196494779491e+01    9.804834587636752e-02   -6.051778947944689e-03    8.122936026266371e-04    0.000000000000000e+00   -2.202370565162713e-03    9.060033960126639e-02    6.150364620288729e-06
3.266489095018970e-01    3.034977879308962e+01    8.972262688603859e-02   -2.756712004735735e-03    1.079296368495628e-03    0.000000000000000e+00   -1.942413058023625e-03    8.609709523870211e-02    5.702953072769801e-06
3.460218116894204e-01    3.214976427863149e+01    8.237124820388886e-02   -2.726387022005590e-05    1.225124695872031e-03    0.000000000000000e+00   -1.730406830986362e-03    8.183426112897779e-02    4.441069576657797e-06
3.658355405573572e-01    3.399070808929695e+01    7.589586005823049e-02    2.212998439406344e-03    1.286657563794906e-03    0.000000000000000e+00   -1.566754724794066e-03    7.782607206195361e-02    2.689274684095078e-06
3.860767402775169e-01    3.587136930120902e+01    7.020168808266568e-02    4.038871372250495e-03    1.290222961334257e-03    0.000000000000000e+00   -1.450059626244040e-03    7.407918837528901e-02    1.534414717271892e-06
4.067317668766912e-01    3.779048021820623e+01    6.520057267428692e-02    5.517870383477298e-03    1.255800447534104e-03    0.000000000000000e+00   -1.377024938343936e-03    7.059496960782755e-02    2.248959126871508e-06
4.277866974336383e-01    3.974674722635767e+01    6.081114551031722e-02    6.706141015601161e-03    1.199051062401338e-03    0.000000000000000e+00   -1.342018177687574e-03    6.736982058564869e-02    4.498824983253935e-06
4.492273394640984e-01    4.173885166594866e+01    5.695836136178074e-02    7.649432249231395e-03    1.130398070772761e-03    0.000000000000000e+00   -1.337740611377411e-03    6.439494501413004e-02    5.506056277346238e-06
4.710392404875134e-01    4.376545072034889e+01    5.357430010519631e-02    8.390669203845626e-03    1.052056303184400e-03    0.000000000000000e+00   -1.356348348721543e-03    6.165661477913636e-02    4.062484368537456e-06
4.932076977690006e-01    4.582517832116393e+01    5.059988354654615e-02    8.965701784385787e-03    9.695485335528688e-04    0.000000000000000e+00   -1.390522754926931e-03    5.914256283826699e-02    2.048271290959469e-06
5.157177682300171e-01    4.791664606906022e+01    4.798361400597666e-02    9.403853021159715e-03    8.889127975069911e-04    0.000000000000000e+00   -1.434657483593932e-03    5.684077012598704e-02    9.522150623830772e-07
5.385542785210315e-01    5.003844416964252e+01    4.567958263385197e-02    9.732676728280801e-03    8.111712379535426e-04    0.000000000000000e+00   -1.484930570081167e-03    5.473710783756304e-02    1.392192442058182e-06
5.617018352494142e-01    5.218914238375312e+01    4.364857721722547e-02    9.971832249565963e-03    7.401861360289292e-04    0.000000000000000e+00   -1.538598311038924e-03    5.281928739086389e-02    2.709900917580166e-06
5.851448353556523e-01    5.436729099155238e+01    4.185715644410081e-02    1.013765753788607e-02    6.772807264997323e-04    0.000000000000000e+00   -1.594019517774515e-03    5.107473423454511e-02    3.340956167025011e-06
6.088674766308949e-01    5.657142176973044e+01    4.027554070773843e-02    1.024842408996481e-02    6.213247548786843e-04    0.000000000000000e+00   -1.651040478186932e-03    4.949015183115055e-02    4.097243244446935e-06
6.328537683687377e-01    5.880004898119160e+01    3.887789695796227e-02    1.031659149930427e-02    5.719291238448339e-04    0.000000000000000e+00   -1.709442462114072e-03    4.805325068026630e-02    3.724438730978719e-06
6.570875421440694e-01    6.105167037654428e+01    3.764230517015845e-02    1.035108541577722e-02    5.282667031766870e-04    0.000000000000000e+00   -1.767018791912139e-03    4.675287098717893e-02    1.767510021184748e-06
6.815524627117115e-01    6.332476820672129e+01    3.655011153885880e-02    1.036255800416934e-02    4.891963500482233e-04    0.000000000000000e+00   -1.820857186223962e-03    4.557973910673777e-02    1.269600114643665e-06
7.062320390175080e-01    6.561781024604807e+01    3.558592980753363e-02    1.035693661783543e-02    4.547778030469958e-04    0.000000000000000e+00   -1.869901366055354e-03    4.452647638304583e-02    1.266479314962488e-06
7.311096353144395e-01    6.792925082506910e+01    3.473701416909487e-02    1.034019967737167e-02    4.239207187200108e-04    0.000000000000000e+00   -1.914865502421224e-03    4.358555517792495e-02    7.138848404503184e-07
7.561684823762714e-01    7.025753187243640e+01    3.399227347379808e-02    1.031945170700310e-02    3.970878424131226e-04    0.000000000000000e+00   -1.957423461164396e-03    4.274980793874354e-02    1.581623306337598e-06
7.813916888011762e-01    7.260108396515768e+01    3.334218192966896e-02    1.029765336432513e-02    3.752493482935316e-04    0.000000000000000e+00   -1.998764794518260e-03    4.201347532208784e-02    2.844525681583443e-06
8.067622523977100e-01    7.495832738649642e+01    3.277927440418513e-02    1.027410098888803e-02    3.589750430037467e-04    0.000000000000000e+00   -2.038036615080219e-03    4.137206602983887e-02    2.247791157816703e-06
8.322630716454701e-01    7.732767319081047e+01    3.229803802211215e-02    1.024992593696850e-02    3.464914641941442e-04    0.000000000000000e+00   -2.073223706421031e-03    4.082072388872017e-02    5.078281337320134e-07
8.578769572227056e-01    7.970752427461179e+01    3.189413630320586e-02    1.022845846019509e-02    3.352022045794754e-04    0.000000000000000e+00   -2.102977673397212e-03    4.035443118409527e-02    3.881104880254505e-07
8.835866435931137e-01    8.209627645312491e+01    3.156417640950349e-02    1.020775126101258e-02    3.260618558447460e-04    0.000000000000000e+00   -2.127534776522826e-03    3.996990756600850e-02    5.471838294621167e-07
9.093748006440093e-01    8.449231954161895e+01    3.130514169704469e-02    1.018739583835791e-02    3.202385225793167e-04    0.000000000000000e+00   -2.147720420050905e-03    3.966497664770433e-02    7.899022670676548e-08
9.352240453680229e-01    8.689403844078367e+01    3.111406859576973e-02    1.017172750406403e-02    3.155861944844627e-04    0.000000000000000e+00   -2.163624361769141e-03    3.943762092534422e-02    1.370072048381688e-07
9.611169535804548e-01    8.929981422541864e+01    3.098865596067272e-02    1.016310026029527e-02    3.109644714451419e-04    0.000000000000000e+00   -2.174852761992581e-03    3.928660012737480e-02    1.267803045816585e-06
9.870360716643837e-01    9.170802523570104e+01    3.092684151273877e-02    1.015989939970800e-02    3.083135057871283e-04    0.000000000000000e+00   -2.180680339417537e-03    3.921148998126721e-02    2.884097549143982e-06
