Actual Pressure Strain,Predicted Pressure Strain
0.000525612534464148,0.0005762740084134974
0.0,-1.4692219115213782e-05
1.5887757575045e-05,3.807246533853462e-05
9.5119022140291e-05,0.0001467725345026152
0.03521507895221005,0.035178933897227524
0.1299500236545345,0.13129864455748388
0.0,0.00012184548942860639
0.0,6.46369528059037e-05
0.000152333738535739,3.872164977804485e-05
6.983249833779e-05,3.872164977804485e-05
0.00929872234519582,0.00931220896123902
-0.001165722850828906,-0.0011813980283822923
4.0638201931341e-05,3.872164977804485e-05
0.1339809825520361,0.1339692746082999
3.93177323744e-06,3.807246533853462e-05
3.9421420763858e-05,3.807246533853462e-05
5.7188886718178e-05,3.872164977804485e-05
1.2860324730996e-05,3.807246533853462e-05
8.180185412721e-06,3.807246533853462e-05
0.001137732590100534,0.001102190817661083
6.265909118384e-06,3.807246533853462e-05
0.000185014826728992,0.00017363615565629915
-0.002452851817046988,-0.0024467686326436104
7.111740604699e-06,3.807246533853462e-05
0.01018769272333687,0.011413490296827967
0.0002711151158554,4.390491481999646e-05
4.363107586152e-06,3.807246533853462e-05
5.7820361900483e-05,3.872164977804485e-05
0.000121355643079855,3.872164977804485e-05
0.0,8.42993133722503e-05
2.9150028944849e-05,3.807246533853462e-05
6.5292811519638e-05,3.872164977804485e-05
0.03100933287475091,0.03094963301458859
0.0,3.807246533853462e-05
1.7823673694202e-05,3.807246533853462e-05
0.000623086497184657,0.00021923522802578955
0.005466932984394633,0.005433733341530137
0.002434069331548108,0.0024766164113313085
0.001240386491238832,0.0005689243555059735
1.4390728804986e-05,3.807246533853462e-05
0.0,0.0
2.4861699061216e-05,3.872164977804485e-05
0.0,3.807246533853462e-05
0.008864138576925907,0.008916915357549833
0.000336695235217765,0.0004865550341487887
0.1154105702925385,0.11896833196313512
0.000197205496312631,4.390491481999646e-05
7.6194129236193e-05,5.0449510722933e-05
-0.01650824969221974,-0.01665160364770251
4.173160642997e-06,3.807246533853462e-05
6.808187027418e-06,3.807246533853462e-05
-0.005759683172156397,-0.006261057405733706
0.000145107833701895,3.807246533853462e-05
-0.01474034763660798,-0.014686575493618723
0.003491265572879604,0.003365879267654706
2.955008145051e-06,3.807246533853462e-05
0.0,4.531691893013076e-05
0.0,3.807246533853462e-05
0.0,4.672836020615412e-05
0.000126466630513979,3.872164977804485e-05
0.000672103422312508,0.000497485163349834
0.001622998982950478,0.0017380877512957345
0.0,0.0
0.04845034867145193,0.050956466004646296
0.0,-1.8159969762103597e-05
2.6342447038773e-05,3.807246533853462e-05
5.6537975304796e-05,3.872164977804485e-05
0.04918754486653419,0.049901139460877514
0.0,0.0
0.001286860478067223,0.001197399753491424
3.4474130032092e-05,3.807246533853462e-05
0.000134887178426092,6.184595203556466e-05
4.631833239342e-06,3.807246533853462e-05
0.002686010530303934,0.0027166056414207485
0.000213055437969778,9.714275937216474e-05
4.6851792835062e-05,4.390491481999646e-05
0.007293516155619033,0.007263171565487041
3.476855792925e-06,3.807246533853462e-05
6.8160329675344e-05,3.872164977804485e-05
0.000431814736562982,0.00046107786678926054
0.0,-4.305273693905022e-05
4.37286550961e-05,3.872164977804485e-05
-0.002150574190634851,-0.0021499268833699626
4.3690147844455e-05,3.872164977804485e-05
0.003935201531060642,0.004482307543886327
0.0,0.0
0.0,4.390491481999646e-05
0.000811870834295039,0.0006440997388377261
0.0,-0.0001960489352034965
0.1522987431228776,0.15264089013089754
0.06146490986404714,0.061360522427046406
0.0,-1.1248711704516724e-05
0.001108577287556351,0.001126366753263347
0.0,3.807246533853462e-05
7.132823583046e-06,3.807246533853462e-05
0.01495457195834668,0.014645467243255429
1.8163941461923e-05,3.807246533853462e-05
-0.01111113465515882,-0.011298004781033226
0.000117168344261052,0.00010356657897100997
2.3886582758444e-05,3.807246533853462e-05
0.0,3.872164977804485e-05
0.0,6.106967807052995e-05
0.1238462744024919,0.12151652391365317
0.0,4.390491481999646e-05
0.0,5.385954181710199e-05
7.8517087393944e-05,3.872164977804485e-05
2.5577159355374e-05,3.807246533853462e-05
0.000403670553026921,0.0004291518563448024
-0.0124220052660095,-0.012415907374523883
0.0,0.0
0.0,4.390491481999646e-05
0.0,4.013365388817915e-05
